"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon May 01 04:39:23 GMT 2023","Mon May 01 04:39:27 GMT 2023","4366","Surefire suite","Surefire test","Spotify.OAuth2.Tests.PlaylistTest","Spotify.OAuth2.Tests.PlaylistTest","ableToGetPlaylist","Get Playlist With Valid Token","User get the playlist with valid token"
"passed","Mon May 01 04:39:23 GMT 2023","Mon May 01 04:39:27 GMT 2023","4300","Surefire suite","Surefire test","Spotify.OAuth2.Tests.PlaylistTest","Spotify.OAuth2.Tests.PlaylistTest","ableToUpdatePlaylist","Update Playlist With Valid Token","User update the playlist with valid token"
"passed","Mon May 01 04:39:23 GMT 2023","Mon May 01 04:39:26 GMT 2023","3346","Surefire suite","Surefire test","Spotify.OAuth2.Tests.PlaylistTest","Spotify.OAuth2.Tests.PlaylistTest","notAbleToCreatePlaylistWithInvalidToken","Create Playlist With Invalid Token","User create the playlist with invalid token"
"passed","Mon May 01 04:39:23 GMT 2023","Mon May 01 04:39:27 GMT 2023","4157","Surefire suite","Surefire test","Spotify.OAuth2.Tests.PlaylistTest","Spotify.OAuth2.Tests.PlaylistTest","notAbleToCreatePlaylist","Create Playlist With Invalid Data","User create the playlist with invalid data"
"failed","Mon May 01 04:39:23 GMT 2023","Mon May 01 04:39:27 GMT 2023","4376","Surefire suite","Surefire test","Spotify.OAuth2.Tests.PlaylistTest","Spotify.OAuth2.Tests.PlaylistTest","ableToCreatePlaylist","Create Playlist With Valid Data","User create the playlist with valid data"
"passed","Mon May 01 04:39:23 GMT 2023","Mon May 01 04:39:27 GMT 2023","4617","Surefire suite","Surefire test","Spotify.OAuth2.Tests.AlbumTest","Spotify.OAuth2.Tests.AlbumTest","ableToGetAlbums","Get Album with valid ID",""
